Ranking,Metro_Area,City,Metropollitan_Population,Average_Income
1,"New York-Newark, NY-NJ-CT-PA","New York, NY","23,689,255",72403.8
2,"Los Angeles-Long Beach, CA","Los Angeles, CA","18,688,022",52214.8
3,"Chicago-Naperville, IL-IN-WI","Chicago, IL","9,882,634",60880.2
4,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington, DC","9,665,892",68187.25
5,"San Jose-San Francisco-Oakland, CA","San Francisco, CA","8,751,807",87138.55556
6,"Boston-Worcester-Providence, MA-RI-NH-CT","Boston, MA","8,176,376",59644.66667
7,"Dallas-Fort Worth, TX-OK","Dallas, TX","7,673,305",55859
8,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia, PA","7,179,357",61492.66667
9,"Houston-The Woodlands, TX","Houston, TX","6,972,374",48303.22222
10,"Miami-Fort Lauderdale-Port St. Lucie, FL","Miami, FL","6,723,472",56494
11,"Atlanta-Athens-Clarke County-Sandy Springs, GA","Atlanta, GA","6,451,262",47036
12,"Detroit-Warren-Ann Arbor, MI","Detroit, MI","5,318,653",49047.66667
13,"Seattle-Tacoma, WA","Seattle, WA","4,684,516",61667.33333
14,"Minneapolis-St. Paul, MN-WI","Minneapolis, MN","3,894,820",51895.0625
15,"Cleveland-Akron-Canton, OH","Cleveland, OH","3,483,311",53130.6
16,"Denver-Aurora, CO","Denver, CO","3,470,235",52751.66667
17,"Orlando-Deltona-Daytona Beach, FL","Orlando, FL","3,202,927",40352.25
18,"Portland-Vancouver-Salem, OR-WA","Portland, OR","3,160,488",49547.28571
19,"St. Louis-St. Charles-Farmington, MO-IL","St. Louis, MO","2,911,769",50076.2
20,"Pittsburgh-New Castle-Weirton, PA-OH-WV","Pittsburgh, PA","2,635,228",49212.14286
21,"Charlotte-Concord, NC-SC","Charlotte, NC","2,632,249",44415.44444
22,"Sacramento-Roseville, CA","Sacramento, CA","2,567,451",50197
23,"Salt Lake City-Provo-Orem, UT","Salt Lake City, UT","2,514,748",42305.5
24,"Kansas City-Overland Park-Kansas City, MO-KS","Kansas City, MO","2,446,396",43499.92857
25,"Columbus-Marion-Zanesville, OH","Columbus, OH","2,443,402",54984
26,"Las Vegas-Henderson, NV-AZ","Las Vegas, NV","2,404,336",44217
27,"Indianapolis-Carmel-Muncie, IN","Indianapolis, IN","2,386,199",48942.18182
28,"Cincinnati-Wilmington-Maysville, OH-KY-IN","Cincinnati, OH","2,224,231",43835.52941
29,"Raleigh-Durham-Chapel Hill, NC","Raleigh, NC","2,156,253",46070.625
30,"Milwaukee-Racine-Waukesha, WI","Milwaukee, WI","2,043,274",53456.375
