ranking,metroarea,city,metropolitanpopulation,averageincome,studio,onebedroom,twobedroom
1,"New York-Newark, NY-NJ-CT-PA","New York, NY","23,689,255","72,403.80","1,937.00","2,151.00","2,562.00"
2,"Los Angeles-Long Beach, CA","Los Angeles, CA","18,688,022","52,214.80","1,151.00","1,370.00","1,760.00"
3,"Chicago-Naperville, IL-IN-WI","Chicago, IL","9,882,634","60,880.20",940,"1,091.00","1,283.00"
4,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington, DC","9,665,892","68,187.25","1,295.00","1,360.00","1,571.00"
5,"San Jose-San Francisco-Oakland, CA","San Francisco, CA","8,751,807","87,138.56","2,023.00","2,486.00","3,123.00"
6,"Boston-Worcester-Providence, MA-RI-NH-CT","Boston, MA","8,176,376","59,644.67","1,516.00","1,730.00","2,145.00"
7,"Dallas-Fort Worth, TX-OK","Dallas, TX","7,673,305","55,859.00",767,914,"1,136.00"
8,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia, PA","7,179,357","61,492.67",820,973,"1,175.00"
9,"Houston-The Woodlands, TX","Houston, TX","6,972,374","48,303.22",742,841,"1,030.00"
10,"Miami-Fort Lauderdale-Port St. Lucie, FL","Miami, FL","6,723,472","56,494.00",877,"1,084.00","1,375.00"
11,"Atlanta-Athens-Clarke County-Sandy Springs, GA","Atlanta, GA","6,451,262","47,036.00",999,"1,047.00","1,210.00"
12,"Detroit-Warren-Ann Arbor, MI","Detroit, MI","5,318,653","49,047.67",568,687,894
13,"Seattle-Tacoma, WA","Seattle, WA","4,684,516","61,667.33","1,183.00","1,355.00","1,687.00"
14,"Minneapolis-St. Paul, MN-WI","Minneapolis, MN","3,894,820","51,895.06",742,914,"1,153.00"
15,"Cleveland-Akron-Canton, OH","Cleveland, OH","3,483,311","53,130.60", Not Available , Not Available , Not Available 
16,"Denver-Aurora, CO","Denver, CO","3,470,235","52,751.67",875,"1,069.00","1,354.00"
17,"Orlando-Deltona-Daytona Beach, FL","Orlando, FL","3,202,927","40,352.25",993,"1,085.00","1,299.00"
18,"Portland-Vancouver-Salem, OR-WA","Portland, OR","3,160,488","49,547.29","1,018.00","1,133.00","1,337.00"
19,"St. Louis-St. Charles-Farmington, MO-IL","St. Louis, MO","2,911,769","50,076.20",638,723,939
20,"Pittsburgh-New Castle-Weirton, PA-OH-WV","Pittsburgh, PA","2,635,228","49,212.14",634,735,919
21,"Charlotte-Concord, NC-SC","Charlotte, NC","2,632,249","44,415.44",893,989,"1,153.00"
22,"Sacramento-Roseville, CA","Sacramento, CA","2,567,451","50,197.00",864,973,"1,235.00"
23,"Salt Lake City-Provo-Orem, UT","Salt Lake City, UT","2,514,748","42,305.50",707,876,"1,086.00"
24,"Kansas City-Overland Park-Kansas City, MO-KS","Kansas City, MO","2,446,396","43,499.93",584,740,907
25,"Columbus-Marion-Zanesville, OH","Columbus, OH","2,443,402","54,984.00",636,752,969
26,"Las Vegas-Henderson, NV-AZ","Las Vegas, NV","2,404,336","44,217.00",784,959,"1,188.00"
27,"Indianapolis-Carmel-Muncie, IN","Indianapolis, IN","2,386,199","48,942.18",606,703,870
28,"Cincinnati-Wilmington-Maysville, OH-KY-IN","Cincinnati, OH","2,224,231","43,835.53",555,647,850
29,"Raleigh-Durham-Chapel Hill, NC","Raleigh, NC","2,156,253","46,070.63",819,"1,010.00","1,168.00"
30,"Milwaukee-Racine-Waukesha, WI","Milwaukee, WI","2,043,274","53,456.38",601,731,906
