Ranking,Metro_Area,City,Metropollitan_Population,Lat,Lng
1,"New York-Newark, NY-NJ-CT-PA","New York, NY","23,689,255",40.7128,-74.006
2,"Los Angeles-Long Beach, CA","Los Angeles, CA","18,688,022",34.0522,-118.2437
3,"Chicago-Naperville, IL-IN-WI","Chicago, IL","9,882,634",41.8781,-87.6298
4,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA","Washington, DC","9,665,892",38.9072,-77.0369
5,"San Jose-San Francisco-Oakland, CA","San Francisco, CA","8,751,807",37.7749,-122.4194
6,"Boston-Worcester-Providence, MA-RI-NH-CT","Boston, MA","8,176,376",42.3601,-71.0589
7,"Dallas-Fort Worth, TX-OK","Dallas, TX","7,673,305",32.7767,-96.797
8,"Philadelphia-Reading-Camden, PA-NJ-DE-MD","Philadelphia, PA","7,179,357",39.9526,-75.1652
9,"Houston-The Woodlands, TX","Houston, TX","6,972,374",29.7604,-95.3698
10,"Miami-Fort Lauderdale-Port St. Lucie, FL","Miami, FL","6,723,472",25.7617,-80.1918
11,"Atlanta-Athens-Clarke County-Sandy Springs, GA","Atlanta, GA","6,451,262",33.749,-84.388
12,"Detroit-Warren-Ann Arbor, MI","Detroit, MI","5,318,653",42.3314,-83.0458
13,"Seattle-Tacoma, WA","Seattle, WA","4,684,516",47.6062,-122.3321
14,"Minneapolis-St. Paul, MN-WI","Minneapolis, MN","3,894,820",44.9778,-93.265
15,"Cleveland-Akron-Canton, OH","Cleveland, OH","3,483,311",41.4993,-81.6944
16,"Denver-Aurora, CO","Denver, CO","3,470,235",39.7392,-104.9903
17,"Orlando-Deltona-Daytona Beach, FL","Orlando, FL","3,202,927",28.5383,-81.3792
18,"Portland-Vancouver-Salem, OR-WA","Portland, OR","3,160,488",45.5051,-122.675
19,"St. Louis-St. Charles-Farmington, MO-IL","St. Louis, MO","2,911,769",38.627,-90.1994
20,"Pittsburgh-New Castle-Weirton, PA-OH-WV","Pittsburgh, PA","2,635,228",40.4406,-79.9959
21,"Charlotte-Concord, NC-SC","Charlotte, NC","2,632,249",35.2271,-80.8431
22,"Sacramento-Roseville, CA","Sacramento, CA","2,567,451",38.5816,-121.4944
23,"Salt Lake City-Provo-Orem, UT","Salt Lake City, UT","2,514,748",40.7608,-111.891
24,"Kansas City-Overland Park-Kansas City, MO-KS","Kansas City, MO","2,446,396",39.0997,-94.5786
25,"Columbus-Marion-Zanesville, OH","Columbus, OH","2,443,402",39.9612,-82.9988
26,"Las Vegas-Henderson, NV-AZ","Las Vegas, NV","2,404,336",36.1699,-115.1398
27,"Indianapolis-Carmel-Muncie, IN","Indianapolis, IN","2,386,199",39.7684,-86.1581
28,"Cincinnati-Wilmington-Maysville, OH-KY-IN","Cincinnati, OH","2,224,231",39.1031,-84.512
29,"Raleigh-Durham-Chapel Hill, NC","Raleigh, NC","2,156,253",35.7796,-78.6382
30,"Milwaukee-Racine-Waukesha, WI","Milwaukee, WI","2,043,274",43.0389,-87.9065
